,Nicknames,Age,Religion,Caste/Sect,Food Habit,Hobbies,Marital Status,Affairs,Name
0,"['SRK,', 'King', 'Khan,', 'King', 'of', 'Romance,', 'Baadshah']",54 Years,Islam,['Sunni'],"['Non-Vegetarian', '[2]']"," Playing Computer Games, Collecting Gadgets, Playing Cricket", Married,Girlfriends Gauri Chibber,Shahrukh Khan
1,"['Sallu,', 'Bhaijan']",54 Years,He identifies himself as both Hindu and Muslim; he says “I’m Hindu and Muslim both. I’m Bharatiya (an Indian). My father is Muslim and my mother is Hindu.”,"['Sunni', '[10]']",['Non-Vegetarian']," Swimming , Cycling [15], Painting , Writing", Unmarried,Girlfriends Sangeeta Bijlani (actress) [24],Salman Khan
2,"['Mr.', 'Perfectionist,', 'The', 'Choco', 'Boy']",55 Years,Islam,['Sunni'],"['Vegetarian', '(At', 'the', 'age', 'of', '50,', 'he', 'decided', 'to', 'quit', 'non-vegetarian)']"," Listening Old Music, Watching Movies, Playing Chess, Tennis and Cricket", Married,Girlfriends Reena Dutta,Aamir Khan
3,"['Munna,', 'Big', 'B,', 'Angry', 'Young', 'Man,', 'AB', 'Sr.,', 'Amith,', 'Shahenshah', 'of', 'Bollywood']",77 Years,Hinduism,['Non-vegetarian']," Singing, Blogging, Reading", Married,Girlfriends • Parveen Babi (Indian Actress),,Amitabh Bachchan
4,"['Akki,', 'Raju,', 'Mac', 'and', 'Khiladi', 'Kumar']",52 Years,Hinduism,['Non-Vegetarian']," Collecting Posters of Old Bollywood Movies, Cooking, Martial Arts, Playing Volleyball and Cricket", Married,Girlfriends Pooja Batra (Actress),,Akshay Kumar
5,"['Duggu,', 'Greek', 'God']",45 Years,Hinduism,['Non-Vegetarian']," Travelling, Gymming, Reading", Divorced,Girlfriends Kareena Kapoor (Actress),,Hrithik Roshan
6,"['Daboo,', 'Ganglu']",36 Years,Hinduism,['Non-Vegetarian']," Playing Football, Travelling and Watching Movies", Unmarried,Girlfriends Nandita Mahtani (Fashion Designer),,Ranbir Kapoor
7,"['Bittoo,', 'Rambo']",33 Years,Hinduism,['Non-Vegetarian']," Collecting Shoes & Hats, Playing and Watching Football, Playing Video Games", Married,Girlfriends Ahana Deol (During his college days),,Ranveer Singh
8,"['Ajay,', 'Raju']",49 Years,Hinduism,['Non-Vegetarian']," Sketching, Trekking, Cooking", Married,Girlfriends Raveena Tandon (Actress),,Ajay Devgn
9,"['Dodo,', 'Sasha,', 'Shak']",37 Years,Hinduism,['Vegetarian']," Reading, Dancing", Married,Girlfriends Hrishita Bhatt,ge Music,Shahid Kapoor
10,32 Years,Hinduism,['Non-Vegetarian']," Dancing, Swimming and Reading", Unmarried,Girlfriends • Sara (when he was in the USA),,,Varun Dhawan
11,"['Mr.', 'India,', 'Lakkhan']",61 Years,Hinduism,['Non-Vegetarian']," Painting, Gymming, Travelling",ffairs and More, Married,"Girlfriends Madhuri Dixit (Actress, Rumour)",Anil Kapoor
12,"['Deepi,', 'Deepz']",33 Years,Hinduism,['Non-Vegetarian']," Dancing, Reading, Playing badminton, Cooking", Married,Boyfriends • Nihaar Pandya (Actor),l Agent),Deepika Padukone
13,"['John,', 'Johny']",46 Years,Christianity,"['Non-Vegetarian', '(Pescetarian', 'and', 'Eggetarian)']", Biking and Gymming, Married,Girlfriends Riya Sen (Actress),,John Abraham
14,"['Piggy', 'Chops,', 'Sunshine,', 'Mimi,', 'PC']",37 Years,Hinduism," Singing, writing poems, reading, photography",fairs and More, Married,Boyfriends Aseem Merchant (Model),,Priyanka Chopra
15,"['Saifu,', 'Chote', 'Nawab']",49 Years,Islam,['Non-Vegetarian']," Reading Novels, Playing the Guitar, Travelling, Fishing, Trekking",ffairs and More, Married,Girlfriends Amrita Singh (Actress),Saif Ali Khan
16,29 Years,Hinduism,['Non-Vegetarian']," Dancing, Performing Martial Arts, Working Out At Gym",ffairs and More, Unmarried,Girlfriends Disha Patani (Actress),,Tiger Shroff
17,"['Sanju', 'Baba,', 'Munna', 'Bhai']",58 Years,Hinduism,['Non-Vegetarian']," Playing the Guitar, Photography, Cooking, Doing Workouts, Horse Riding",ffairs and More, Married,"Girlfriends Tina Munim, Actress (1981-1983)",Sanjay Dutt
18,51 Years,Islam,['Vegetarian']," Reading, Playing Cricket",ffairs and More, Married,Girlfriends Sutapa Sikdar (Dialogue writer),,Irrfan Khan
19,66 Years,Hinduism,['Non-Vegetarian'], Collecting Sweaters,ffairs and More, Married,Girlfriends Yasmin (Actress),,Rishi Kapoor
20,"['Junior', 'Bachchan,', 'Junior', 'B,', 'Abhi,', 'AB', 'Baby']",44 Years,Hindusim,['Non-Vegetarian']," Watching Films, Driving, Sketching, Cooking", Married,Girlfriends Karisma Kapoor (Actress),,Abhishek Bachchan
21,62 Years,Sikhism," Photography, Working Out At Gym, Trekking", Married,"Girlfriends Amrita Singh (Actress, Rumour)",,,,Sunny Deol
22,46 Years,Hindu," Knitting, collecting watches and reading",fairs and More, Married,Boyfriends Rajeev Mulchandani (Model),,,Aishwarya Rai
23,['Nowaz'],45 Years,Islam,['Sunni'],['Non-Vegetarian']," Flying Kites, Watching Films, Farming", Married,Girlfriends • Sunita Rajwar (Actress),Nawazuddin Siddiqui
